territory,year,population,type,capacity,score
Abruzzo,2018,adulti,rischio,accedere_risorse,-0.18
Basilicata,2018,adulti,rischio,accedere_risorse,-0.182
Calabria,2018,adulti,rischio,accedere_risorse,-0.791
Campania,2018,adulti,rischio,accedere_risorse,-1.552
Emilia-Romagna,2018,adulti,rischio,accedere_risorse,0.689
Friuli-Venezia Giulia,2018,adulti,rischio,accedere_risorse,0.664
Lazio,2018,adulti,rischio,accedere_risorse,0.035
Liguria,2018,adulti,rischio,accedere_risorse,0.176
Lombardia,2018,adulti,rischio,accedere_risorse,0.332
Marche,2018,adulti,rischio,accedere_risorse,0.087
Molise,2018,adulti,rischio,accedere_risorse,0.168
Piemonte,2018,adulti,rischio,accedere_risorse,0.289
Puglia,2018,adulti,rischio,accedere_risorse,-0.743
Sardegna,2018,adulti,rischio,accedere_risorse,-0.562
Sicilia,2018,adulti,rischio,accedere_risorse,-1.109
Toscana,2018,adulti,rischio,accedere_risorse,0.57
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,accedere_risorse,0.666
Umbria,2018,adulti,rischio,accedere_risorse,0.169
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,accedere_risorse,0.439
Veneto,2018,adulti,rischio,accedere_risorse,0.835
Abruzzo,2018,adulti,rischio,conoscenza_sapere,0.451
Basilicata,2018,adulti,rischio,conoscenza_sapere,-0.077
Calabria,2018,adulti,rischio,conoscenza_sapere,-1.372
Campania,2018,adulti,rischio,conoscenza_sapere,-1.705
Emilia-Romagna,2018,adulti,rischio,conoscenza_sapere,0.55
Friuli-Venezia Giulia,2018,adulti,rischio,conoscenza_sapere,0.093
Lazio,2018,adulti,rischio,conoscenza_sapere,1.043
Liguria,2018,adulti,rischio,conoscenza_sapere,-0.044
Lombardia,2018,adulti,rischio,conoscenza_sapere,0.561
Marche,2018,adulti,rischio,conoscenza_sapere,0.993
Molise,2018,adulti,rischio,conoscenza_sapere,0.416
Piemonte,2018,adulti,rischio,conoscenza_sapere,0.342
Puglia,2018,adulti,rischio,conoscenza_sapere,-1.602
Sardegna,2018,adulti,rischio,conoscenza_sapere,-0.82
Sicilia,2018,adulti,rischio,conoscenza_sapere,-1.76
Toscana,2018,adulti,rischio,conoscenza_sapere,0.397
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,conoscenza_sapere,0.937
Umbria,2018,adulti,rischio,conoscenza_sapere,1.038
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,conoscenza_sapere,0.2
Veneto,2018,adulti,rischio,conoscenza_sapere,0.361
Abruzzo,2018,adulti,rischio,cura,-0.219
Basilicata,2018,adulti,rischio,cura,-0.053
Calabria,2018,adulti,rischio,cura,-0.252
Campania,2018,adulti,rischio,cura,-1.712
Emilia-Romagna,2018,adulti,rischio,cura,0.278
Friuli-Venezia Giulia,2018,adulti,rischio,cura,0.263
Lazio,2018,adulti,rischio,cura,-0.451
Liguria,2018,adulti,rischio,cura,0.225
Lombardia,2018,adulti,rischio,cura,0.489
Marche,2018,adulti,rischio,cura,0.043
Molise,2018,adulti,rischio,cura,0.204
Piemonte,2018,adulti,rischio,cura,0.337
Puglia,2018,adulti,rischio,cura,-0.656
Sardegna,2018,adulti,rischio,cura,0.012
Sicilia,2018,adulti,rischio,cura,-1.058
Toscana,2018,adulti,rischio,cura,0.147
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,cura,1.067
Umbria,2018,adulti,rischio,cura,0.235
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,cura,0.528
Veneto,2018,adulti,rischio,cura,0.574
Abruzzo,2018,adulti,rischio,lavorare,-0.198
Basilicata,2018,adulti,rischio,lavorare,-0.333
Calabria,2018,adulti,rischio,lavorare,-1.735
Campania,2018,adulti,rischio,lavorare,-1.764
Emilia-Romagna,2018,adulti,rischio,lavorare,0.866
Friuli-Venezia Giulia,2018,adulti,rischio,lavorare,0.824
Lazio,2018,adulti,rischio,lavorare,0.001
Liguria,2018,adulti,rischio,lavorare,0.551
Lombardia,2018,adulti,rischio,lavorare,0.698
Marche,2018,adulti,rischio,lavorare,0.646
Molise,2018,adulti,rischio,lavorare,-0.596
Piemonte,2018,adulti,rischio,lavorare,0.489
Puglia,2018,adulti,rischio,lavorare,-0.978
Sardegna,2018,adulti,rischio,lavorare,-0.762
Sicilia,2018,adulti,rischio,lavorare,-1.797
Toscana,2018,adulti,rischio,lavorare,0.63
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,lavorare,1.418
Umbria,2018,adulti,rischio,lavorare,0.413
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,lavorare,0.716
Veneto,2018,adulti,rischio,lavorare,0.913
Abruzzo,2018,adulti,rischio,vita_sana,0.113
Basilicata,2018,adulti,rischio,vita_sana,0.066
Calabria,2018,adulti,rischio,vita_sana,-0.2
Campania,2018,adulti,rischio,vita_sana,-0.386
Emilia-Romagna,2018,adulti,rischio,vita_sana,0.068
Friuli-Venezia Giulia,2018,adulti,rischio,vita_sana,0.526
Lazio,2018,adulti,rischio,vita_sana,0.174
Liguria,2018,adulti,rischio,vita_sana,0.505
Lombardia,2018,adulti,rischio,vita_sana,0.219
Marche,2018,adulti,rischio,vita_sana,-1.078
Molise,2018,adulti,rischio,vita_sana,0.461
Piemonte,2018,adulti,rischio,vita_sana,-0.181
Puglia,2018,adulti,rischio,vita_sana,-0.019
Sardegna,2018,adulti,rischio,vita_sana,-0.585
Sicilia,2018,adulti,rischio,vita_sana,0.065
Toscana,2018,adulti,rischio,vita_sana,-0.503
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,vita_sana,0.905
Umbria,2018,adulti,rischio,vita_sana,-0.317
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,vita_sana,-0.494
Veneto,2018,adulti,rischio,vita_sana,0.661
Abruzzo,2018,adulti,rischio,vita_sicura,-0.46
Basilicata,2018,adulti,rischio,vita_sicura,-0.078
Calabria,2018,adulti,rischio,vita_sicura,-0.42
Campania,2018,adulti,rischio,vita_sicura,-1.113
Emilia-Romagna,2018,adulti,rischio,vita_sicura,0.16
Friuli-Venezia Giulia,2018,adulti,rischio,vita_sicura,0.679
Lazio,2018,adulti,rischio,vita_sicura,-0.447
Liguria,2018,adulti,rischio,vita_sicura,0.164
Lombardia,2018,adulti,rischio,vita_sicura,0.499
Marche,2018,adulti,rischio,vita_sicura,0.087
Molise,2018,adulti,rischio,vita_sicura,-0.468
Piemonte,2018,adulti,rischio,vita_sicura,0.132
Puglia,2018,adulti,rischio,vita_sicura,-0.815
Sardegna,2018,adulti,rischio,vita_sicura,0.385
Sicilia,2018,adulti,rischio,vita_sicura,-0.417
Toscana,2018,adulti,rischio,vita_sicura,-0.03
Trentino-Alto Adige/Südtirol,2018,adulti,rischio,vita_sicura,1.071
Umbria,2018,adulti,rischio,vita_sicura,-0.192
Valle d'Aosta/Vallée d'Aoste,2018,adulti,rischio,vita_sicura,1.065
Veneto,2018,adulti,rischio,vita_sicura,0.198
Abruzzo,2018,bambini,rischio,vita_sana,-0.728
Basilicata,2018,bambini,rischio,vita_sana,-0.801
Calabria,2018,bambini,rischio,vita_sana,-0.009
Campania,2018,bambini,rischio,vita_sana,-0.668
Emilia-Romagna,2018,bambini,rischio,vita_sana,0.381
Friuli-Venezia Giulia,2018,bambini,rischio,vita_sana,0.721
Lazio,2018,bambini,rischio,vita_sana,0.515
Liguria,2018,bambini,rischio,vita_sana,0.076
Lombardia,2018,bambini,rischio,vita_sana,0.146
Marche,2018,bambini,rischio,vita_sana,0.519
